null,Homo sapiens,Felis catus,Camelus dromedarius,Canis lupus familiaris,Bos taurus,Ictidomys tridecemlineatus,Rattus norvegicus,Mus musculus
Homo sapiens,100.00,98.67,98.53,98.27,98.00,98.27,96.40,94.93
Felis catus,98.67,100.00,99.07,99.33,98.67,98.13,96.27,94.80
Camelus dromedarius,98.53,99.07,100.00,98.67,99.07,98.27,95.87,94.13
Canis lupus familiaris,98.27,99.33,98.67,100.00,98.53,97.87,96.00,94.27
Bos taurus,98.00,98.67,99.07,98.53,100.00,98.27,95.73,94.00
Ictidomys tridecemlineatus,98.27,98.13,98.27,97.87,98.27,100.00,96.27,94.53
Rattus norvegicus,96.40,96.27,95.87,96.00,95.73,96.27,100.00,98.00
Mus musculus,94.93,94.80,94.13,94.27,94.00,94.53,98.00,100.00
