null,angiotensin-converting enzyme 2 precursor [Homo sapiens],ACE2 [Homo sapiens],Chain B Angiotensin-converting enzyme 2 [Homo sapiens],angiotensin-converting enzyme 2 [Gorilla gorilla gorilla],angiotensin-converting enzyme 2 isoform X1 [Pan troglodytes],angiotensin-converting enzyme 2 isoform X1 [Pan paniscus],angiotensin-converting enzyme 2 isoform X1 [Pongo abelii],angiotensin-converting enzyme 2 precursor [Pongo abelii],angiotensin-converting enzyme 2 [Hylobates moloch],angiotensin-converting enzyme 2 [Nomascus leucogenys],angiotensin-converting enzyme 2 [Piliocolobus tephrosceles],angiotensin-converting enzyme 2 isoform X2 [Homo sapiens],angiotensin-converting enzyme 2 isoform X1 [Homo sapiens],angiotensin-converting enzyme 2 [Rhinopithecus roxellana],angiotensin-converting enzyme 2 [Theropithecus gelada],angiotensin-converting enzyme 2 [Papio anubis],angiotensin-converting enzyme 2 [Macaca nemestrina],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],Angiotensin-converting enzyme 2 [Macaca mulatta],Angiotensin-converting enzyme 2 [Macaca fascicularis],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin-converting enzyme 2 precursor [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Macaca mulatta],angiotensin converting enzyme 2 [Chlorocebus aethiops],angiotensin-converting enzyme 2 [Sapajus apella],angiotensin-converting enzyme 2 [Aotus nancymaae],angiotensin-converting enzyme 2 [Ictidomys tridecemlineatus],angiotensin-converting enzyme 2 isoform X1 [Urocitellus parryii],angiotensin-converting enzyme 2 [Fukomys damarensis],angiotensin-converting enzyme 2 [Marmota flaviventris],angiotensin-converting enzyme 2 [Heterocephalus glaber],angiotensin I converting enzyme 2 [Oryctolagus cuniculus],Angiotensin-converting enzyme 2 [Heterocephalus glaber],angiotensin-converting enzyme 2 [Equus caballus],RecName: Full=Angiotensin-converting enzyme 2; AltName: Full=ACE-related carboxypeptidase; Contains: RecName: Full=Processed angiotensin-converting enzyme 2; Flags: Precursor [Paguma larvata],angiotensin-converting enzyme 2 [Puma concolor],angiotensin-converting enzyme 2 isoform X1 [Acinonyx jubatus],angiotensin-converting enzyme 2 precursor [Felis catus],angiotensin-converting enzyme 2 [Microtus ochrogaster],angiotensin-converting enzyme 2 [Ursus arctos horribilis],angiotensin i converting enzyme 2 [Lynx pardinus],angiotensin-converting enzyme 2 precursor [Chinchilla lanigera],angiotensin I converting enzyme 2 partial [Oryctolagus cuniculus],angiotensin-converting enzyme 2 [Camelus ferus],angiotensin-converting enzyme 2 [Octodon degus],angiotensin-converting enzyme 2 [Vicugna pacos],angiotensin-converting enzyme 2 [Carlito syrichta],angiotensin-converting enzyme 2 [Balaenoptera acutorostrata scammoni],angiotensin-converting enzyme 2 isoform X1 [Felis catus],angiotensin-converting enzyme 2 [Lynx canadensis],angiotensin-converting enzyme 2 isoform X2 [Urocitellus parryii],angiotensin-converting enzyme 2 [Mesocricetus auratus],angiotensin-converting enzyme 2 [Cricetulus griseus],angiotensin-converting enzyme 2 [Cricetulus griseus],angiotensin-converting enzyme 2 [Physeter catodon],ACE2 enzyme partial [Crocuta crocuta],angiotensin-converting enzyme 2 isoform X1 [Myotis lucifugus],angiotensin-converting enzyme 2 isoform X1 [Sus scrofa],angiotensin-converting enzyme 2 [Microcebus murinus],angiotensin-converting enzyme 2 [Mus pahari],angiotensin-converting enzyme 2 [Suricata suricatta],angiotensin-converting enzyme 2 [Monodon monoceros],angiotensin-converting enzyme 2 [Trichechus manatus latirostris],angiotensin-converting enzyme 2 [Lagenorhynchus obliquidens],angiotensin-converting enzyme 2 [Pteropus alecto],angiotensin-converting enzyme 2 [Mustela erminea],angiotensin-converting enzyme 2 isoform X2 [Myotis lucifugus],angiotensin-converting enzyme 2 [Globicephala melas],angiotensin-converting enzyme 2 [Orcinus orca],angiotensin-converting enzyme 2 isoform X1 [Enhydra lutris kenyoni],angiotensin-converting enzyme 2 [Peromyscus leucopus],angiotensin converting enzyme 2 [Rhinolophus pearsonii],angiotensin I converting enzyme 2 [Procyon lotor],angiotensin-converting enzyme 2 [Delphinapterus leucas],angiotensin-converting enzyme 2 precursor [Capra hircus],angiotensin-converting enzyme 2 [Tursiops truncatus],angiotensin-converting enzyme 2 [Ovis aries],angiotensin-converting enzyme 2 [Eumetopias jubatus],angiotensin-converting enzyme 2 isoform X2 [Enhydra lutris kenyoni],angiotensin-converting enzyme 2 isoform X1 [Canis lupus familiaris],angiotensin-converting enzyme 2 [Zalophus californianus],angiotensin-converting enzyme 2 precursor [Sus scrofa],angiotensin-converting enzyme 2 precursor [Mustela putorius furo],angiotensin-converting enzyme 2 [Mus caroli],angiotensin-converting enzyme 2 precursor [Mus musculus],angiotensin-converting enzyme 2 isoform X2 [Bos taurus],angiotensin I converting enzyme 2 partial [Mesocricetus auratus],angiotensin-converting enzyme 2 isoform X1 [Phocoena sinus],angiotensin-converting enzyme 2 [Neophocaena asiaeorientalis asiaeorientalis],angiotensin-converting enzyme 2 isoform X2 [Bos indicus x Bos taurus],angiotensin converting enzyme 2 [Nyctereutes procyonoides],angiotensin-converting enzyme 2 [Nannospalax galili],angiotensin-converting enzyme 2 isoform X1 [Canis lupus dingo],angiotensin-converting enzyme 2 precursor [Bos taurus],Angiotensin-converting enzyme 2 [Camelus dromedarius],angiotensin-converting enzyme 2 [Lontra canadensis],angiotensin-converting enzyme 2 [Otolemur garnettii],angiotensin-converting enzyme 2 [Callorhinus ursinus],angiotensin-converting enzyme 2 [Vulpes vulpes],angiotensin I converting enzyme 2 [Phodopus campbelli],angiotensin-converting enzyme 2 isoform X1 [Neomonachus schauinslandi],angiotensin-converting enzyme 2 precursor [Rattus norvegicus],angiotensin-converting enzyme 2 [Tupaia chinensis],angiotensin-converting enzyme 2 [Rhinolophus macrotis],angiotensin-converting enzyme 2 [Phoca vitulina],angiotensin-converting enzyme 2 [Rhinolophus sinicus],angiotensin I converting enzyme 2 partial [Felis catus],angiotensin converting enzyme 2 [Rhinolophus landeri],angiotensin converting enzyme 2 [Rhinolophus alcyone],angiotensin-converting enzyme 2 [Grammomys surdaster],angiotensin-converting enzyme 2 [Syconycteris australis],angiotensin-converting enzyme 2 [Arvicanthis niloticus],angiotensin-converting enzyme 2 [Myotis tricolor],angiotensin-converting enzyme 2 [Mastomys coucha],angiotensin-converting enzyme 2 isoform X1 [Eptesicus fuscus],angiotensin-converting enzyme 2 [Pteropus vampyrus],angiotensin-converting enzyme 2 [Myotis keaysi],angiotensin-converting enzyme 2 [Rhinolophus ferrumequinum],angiotensin-converting enzyme 2 [Rhinolophus ferrumequinum],angiotensin I converting enzyme 2 [Rhinolophus ferrumequinum],angiotensin-converting enzyme 2 [Rhinolophus sinicus],angiotensin-converting enzyme 2 [Myotis riparius],angiotensin-converting enzyme 2 [Loxodonta africana],angiotensin-converting enzyme 2 [Eptesicus brasiliensis],angiotensin-converting enzyme 2 [Rhinolophus sinicus],angiotensin-converting enzyme 2 [Rhinolophus pusillus],angiotensin-converting enzyme 2 partial [Aeorestes cinereus],angiotensin converting enzyme 2 [Rhinolophus ferrumequinum],angiotensin I converting enzyme 2 [Rhinolophus sinicus],angiotensin I converting enzyme 2 [Rousettus leschenaultii],angiotensin-converting enzyme 2 isoform X2 [Eptesicus fuscus],angiotensin I converting enzyme 2 [Rousettus leschenaultii],angiotensin-converting enzyme 2 [Kerivoula pellucida],angiotensin-converting enzyme 2 precursor [Canis lupus familiaris],anigotensin-converting enzyme-related carboxypeptidase [Mus musculus],angiotensin I converting enzyme 2 partial [Sus scrofa domesticus],angiotensin-converting enzyme 2 isoform X1 [Desmodus rotundus],angiotensin-converting enzyme 2 [Antrozous pallidus],angiotensin-converting enzyme 2 isoform X2 [Sus scrofa],angiotensin-converting enzyme 2 [Taphozous theobaldi],angiotensin-converting enzyme 2 [Pteropus lylei],angiotensin-converting enzyme 2 [Scotophilus dinganii],angiotensin-converting enzyme 2 isoform X2 [Acinonyx jubatus],angiotensin-converting enzyme 2 [Dobsonia viridis],angiotensin-converting enzyme 2 [Rattus rattus],angiotensin-converting enzyme 2 [Neoromicia nanus],angiotensin-converting enzyme 2 [Phyllostomus discolor],angiotensin-converting enzyme 2 isoform X1 [Bos indicus x Bos taurus],angiotensin-converting enzyme 2 isoform X1 [Bos taurus],angiotensin I converting enzyme 2 partial [Mus musculus],angiotensin-converting enzyme 2 [Scotophilus kuhlii],angiotensin-converting enzyme 2 [Taphozous melanopogon],angiotensin-converting enzyme 2 [Emballonura alecto],angiotensin-converting enzyme 2 [Rhynchonycteris naso],angiotensin-converting enzyme 2 [Artibeus lituratus],angiotensin-converting enzyme 2 [Chiroderma salvini],angiotensin-converting enzyme 2 [Artibeus phaeotis],angiotensin-converting enzyme 2 [Uroderma bilobatum],angiotensin-converting enzyme 2 [Artibeus jamaicensis],angiotensin-converting enzyme 2 [Artibeus glaucus watsoni],angiotensin-converting enzyme 2 [Balantiopteryx plicata],angiotensin I converting enzyme 2 partial [Cavia porcellus],angiotensin-converting enzyme 2 [Chiroderma villosum],angiotensin-converting enzyme 2 [Platyrrhinus helleri],angiotensin-converting enzyme 2 [Cynopterus sphinx],angiotensin-converting enzyme 2 [Carollia castanea],angiotensin-converting enzyme 2 [Platyrrhinus vittatus],angiotensin-converting enzyme 2 [Saccopteryx bilineata],angiotensin-converting enzyme 2 [Glossophaga soricina],angiotensin-converting enzyme 2 [Rousettus leschenaultii],angiotensin-converting enzyme 2 [Epomophorus wahlbergi],angiotensin-converting enzyme 2 [Coleura afra],angiotensin-converting enzyme 2 [Carollia perspicillata],angiotensin-converting enzyme 2 [Tylonycteris robustula],angiotensin I converting enzyme 2 [Pipistrellus abramus],angiotensin-converting enzyme 2 [Glossophaga commissarisi],angiotensin-converting enzyme 2 [Vampyrum spectrum]
angiotensin-converting enzyme 2 precursor [Homo sapiens],100.00,100.00,99.01,99.50,99.38,99.38,99.25,99.25,99.13,99.25,98.11,100.00,100.00,98.11,97.98,97.73,97.86,97.86,97.86,97.73,97.73,97.73,97.73,97.61,97.61,97.61,97.86,97.61,97.61,97.48,97.61,97.48,97.61,97.48,97.48,97.36,97.61,97.61,97.36,97.23,96.22,95.72,92.09,92.21,91.44,91.46,91.31,92.32,91.31,93.45,91.31,92.70,92.70,92.57,90.81,92.44,92.57,91.69,93.01,92.57,91.69,92.07,91.81,91.06,92.09,92.57,92.75,91.56,91.44,91.44,91.31,91.44,88.26,91.18,88.33,90.43,90.68,91.06,89.80,91.18,90.68,91.94,89.55,91.06,91.18,91.44,89.67,90.81,92.19,90.93,90.81,90.93,90.93,92.06,91.44,92.19,91.93,90.81,91.69,89.17,89.42,90.81,91.86,90.93,90.68,90.68,92.19,91.06,92.07,90.68,90.18,91.18,89.42,91.93,91.94,91.06,91.56,90.05,89.67,90.18,91.56,90.05,92.36,90.05,89.80,90.18,89.08,89.67,89.59,90.18,89.01,89.80,89.34,89.80,90.30,90.30,89.92,88.96,90.30,89.08,90.18,90.05,87.95,90.05,89.92,90.18,89.04,90.05,88.71,91.81,89.51,91.48,88.19,89.21,91.57,89.08,88.58,88.08,92.88,88.33,87.94,88.21,88.07,90.93,91.06,88.52,87.58,88.33,87.95,87.95,85.57,85.70,85.45,85.32,85.45,85.32,87.08,89.32,85.57,85.19,87.83,85.32,85.07,86.57,85.70,86.95,87.45,86.20,85.32,85.32,87.66,85.57,84.94
ACE2 [Homo sapiens],100.00,100.00,99.01,99.50,99.38,99.38,99.25,99.25,99.13,99.13,98.11,100.00,100.00,98.11,97.98,97.73,97.86,97.86,97.86,97.73,97.73,97.73,97.73,97.61,97.61,97.61,97.86,97.61,97.61,97.48,97.61,97.48,97.61,97.48,97.48,97.36,97.61,97.61,97.36,97.23,96.22,95.72,91.96,92.09,91.44,91.33,91.31,92.32,91.31,93.45,91.31,92.57,92.57,92.44,90.81,92.44,92.44,91.69,93.01,92.57,91.69,92.07,91.81,91.06,91.96,92.44,92.62,91.56,91.44,91.44,91.31,91.44,88.26,91.06,88.33,90.43,90.68,91.06,89.80,91.18,90.68,91.94,89.55,91.06,91.18,91.44,89.67,90.81,92.19,90.93,90.81,90.93,90.93,92.06,91.44,92.19,91.93,90.81,91.69,89.17,89.42,90.81,91.86,90.93,90.68,90.68,92.19,91.06,92.07,90.68,90.43,91.18,89.42,91.93,91.94,91.06,91.56,90.05,89.67,90.18,91.56,90.05,92.23,90.05,89.80,90.18,89.08,89.67,89.59,90.18,89.01,89.80,89.34,89.80,90.30,90.30,89.92,88.96,90.30,89.08,90.18,90.05,87.95,90.05,89.92,90.18,89.04,90.05,88.71,91.81,89.51,91.48,88.19,89.21,91.44,89.08,88.58,88.08,92.74,88.33,87.94,88.21,88.07,90.93,91.06,88.52,87.58,88.33,87.95,87.95,85.57,85.70,85.45,85.32,85.45,85.32,87.08,89.32,85.57,85.19,87.83,85.32,85.07,86.57,85.70,86.95,87.45,86.20,85.32,85.32,87.66,85.57,84.94
Chain B Angiotensin-converting enzyme 2 [Homo sapiens],99.01,99.01,100.00,98.52,98.40,98.40,98.28,98.28,98.15,98.28,97.13,98.97,98.97,97.13,97.01,96.76,96.88,96.88,96.88,96.76,96.76,96.76,96.76,96.63,96.63,96.63,96.88,96.63,96.63,96.51,96.63,96.51,96.63,96.51,96.51,96.38,96.63,96.63,96.38,96.26,95.26,94.76,91.17,91.29,90.52,90.55,90.40,91.40,90.92,92.52,91.37,92.77,92.77,92.64,90.99,91.52,92.64,91.75,92.05,91.65,90.77,91.15,90.90,90.15,92.28,92.77,91.79,90.65,90.52,90.52,90.40,91.50,87.39,90.79,87.47,89.53,90.74,90.15,88.90,90.27,89.78,91.02,88.65,90.15,90.27,90.52,88.78,89.90,91.27,90.02,89.90,90.02,90.02,91.14,90.52,91.27,91.99,90.42,90.77,88.28,88.53,89.90,92.06,90.02,89.78,89.78,91.27,90.02,91.15,89.78,89.28,90.27,88.53,91.99,91.02,90.15,90.65,90.23,88.78,89.28,91.62,89.15,92.43,89.15,88.90,89.28,88.20,88.78,88.70,90.36,88.13,88.90,88.45,88.90,89.40,89.40,89.03,88.07,89.40,88.20,89.28,89.15,87.08,89.15,89.03,89.28,88.15,89.15,88.75,90.90,88.59,91.09,87.31,88.32,91.16,88.20,87.70,87.20,92.88,87.45,88.10,87.33,87.19,89.99,90.12,88.69,86.71,87.45,87.08,87.08,84.72,85.84,84.60,85.46,84.60,84.47,86.21,88.41,85.71,85.34,86.96,84.47,85.21,85.71,84.84,86.09,86.58,85.34,84.47,84.47,87.82,84.72,84.10
angiotensin-converting enzyme 2 [Gorilla gorilla gorilla],99.50,99.50,98.52,100.00,99.38,99.38,99.25,99.25,99.13,99.25,97.98,99.61,99.61,97.98,97.86,97.73,97.73,97.73,97.73,97.61,97.61,97.36,97.61,97.48,97.48,97.48,97.73,97.48,97.48,97.36,97.48,97.36,97.48,97.36,97.36,97.23,97.48,97.36,97.23,97.10,96.10,95.59,92.21,92.34,91.56,91.58,91.18,92.32,91.18,93.45,91.18,92.57,92.57,92.44,90.81,92.44,92.44,91.56,92.75,92.44,91.69,92.19,91.94,91.18,92.09,92.44,92.75,91.81,91.69,91.69,91.44,91.31,88.13,91.06,88.21,90.43,90.81,91.18,89.80,91.31,90.68,92.07,89.42,91.18,91.31,91.69,89.92,90.68,92.44,91.06,90.81,91.06,90.93,92.18,91.69,92.19,92.06,90.68,91.81,89.42,89.55,90.81,92.12,91.06,90.81,90.68,92.19,91.31,92.07,90.68,90.05,91.44,89.55,92.31,92.44,91.06,91.69,90.05,90.05,90.05,91.69,89.92,91.97,89.92,89.67,90.30,88.96,89.80,89.71,90.55,88.89,89.80,89.21,89.67,90.18,90.18,89.80,88.83,90.30,88.96,90.05,89.80,87.83,89.92,89.80,90.05,88.92,89.92,88.58,91.81,89.64,91.35,88.07,88.96,91.30,88.96,88.58,88.21,92.74,88.21,87.94,87.95,88.32,90.80,90.93,88.65,87.45,88.21,87.83,87.83,85.82,85.82,85.70,85.45,85.70,85.57,86.95,89.32,85.57,85.32,87.70,85.19,85.19,86.45,85.57,86.83,87.33,86.32,85.19,85.07,87.41,85.45,85.07
angiotensin-converting enzyme 2 isoform X1 [Pan troglodytes],99.38,99.38,98.40,99.38,100.00,100.00,99.13,99.13,99.01,99.13,97.86,99.61,99.61,97.86,97.73,97.61,97.61,97.61,97.61,97.48,97.48,97.23,97.48,97.36,97.36,97.36,97.61,97.36,97.36,97.23,97.36,97.23,97.36,97.23,97.23,97.10,97.36,97.36,97.10,97.10,95.97,95.47,91.83,91.96,91.18,91.21,91.31,92.19,91.31,93.32,91.06,92.44,92.44,92.32,90.68,92.19,92.32,91.44,92.75,92.32,91.44,91.81,91.81,90.81,91.83,92.32,92.49,91.31,91.31,91.31,91.06,91.18,88.01,90.93,88.08,90.18,90.43,90.81,89.55,90.93,90.55,91.94,89.29,90.81,90.93,91.44,89.55,90.55,92.19,90.68,90.55,90.68,90.68,91.80,91.44,92.07,91.68,90.55,91.69,89.17,89.17,90.55,91.73,90.68,90.43,90.43,92.07,90.81,91.94,90.43,89.92,91.18,89.17,91.68,91.81,90.68,91.31,89.67,89.42,89.92,91.31,89.80,91.97,89.80,89.55,89.92,88.83,89.42,89.34,89.92,88.76,89.67,89.08,89.55,90.05,90.05,89.67,88.71,89.92,88.83,89.92,89.80,87.70,89.80,89.67,89.92,88.79,89.80,88.46,91.69,89.26,91.34,88.19,88.96,91.30,88.83,88.46,87.83,92.61,88.08,87.56,87.95,88.07,90.67,90.80,88.37,87.33,88.08,87.70,87.70,85.57,85.57,85.45,85.32,85.45,85.32,86.83,89.06,85.45,85.07,87.58,85.32,84.94,86.32,85.70,86.70,87.20,85.95,85.32,85.07,87.41,85.57,84.82
angiotensin-converting enzyme 2 isoform X1 [Pan paniscus],99.38,99.38,98.40,99.38,100.00,100.00,99.13,99.13,99.01,99.13,97.86,99.61,99.61,97.86,97.73,97.61,97.61,97.61,97.61,97.48,97.48,97.23,97.48,97.36,97.36,97.36,97.61,97.36,97.36,97.23,97.36,97.23,97.36,97.23,97.23,97.10,97.36,97.36,97.10,97.10,95.97,95.47,91.83,91.96,91.18,91.21,91.31,92.19,91.31,93.32,91.06,92.44,92.44,92.32,90.68,92.19,92.32,91.44,92.75,92.32,91.44,91.81,91.81,90.81,91.83,92.32,92.49,91.31,91.31,91.31,91.06,91.18,88.01,90.93,88.08,90.18,90.43,90.81,89.55,90.93,90.55,91.94,89.29,90.81,90.93,91.44,89.55,90.55,92.19,90.68,90.55,90.68,90.68,91.80,91.44,92.07,91.68,90.55,91.69,89.17,89.17,90.55,91.73,90.68,90.43,90.43,92.07,90.81,91.94,90.43,89.92,91.18,89.17,91.68,91.81,90.68,91.31,89.80,89.42,89.92,91.31,89.80,91.97,89.80,89.55,89.92,88.83,89.42,89.34,89.92,88.76,89.67,89.08,89.55,90.05,90.05,89.67,88.71,90.05,88.83,89.92,89.80,87.70,89.80,89.67,89.92,88.79,89.80,88.46,91.69,89.26,91.34,88.19,88.96,91.30,88.83,88.46,87.83,92.61,88.08,87.69,87.95,88.07,90.67,90.80,88.37,87.33,88.08,87.70,87.70,85.57,85.57,85.45,85.32,85.45,85.32,86.83,89.06,85.45,85.07,87.58,85.32,84.94,86.32,85.70,86.70,87.20,85.95,85.32,85.07,87.41,85.57,84.94
angiotensin-converting enzyme 2 isoform X1 [Pongo abelii],99.25,99.25,98.28,99.25,99.13,99.13,100.00,100.00,99.38,99.50,98.24,99.35,99.35,98.24,98.11,97.98,97.98,97.98,97.98,97.86,97.86,97.61,97.86,97.73,97.73,97.73,97.98,97.73,97.73,97.61,97.73,97.61,97.73,97.61,97.61,97.48,97.73,97.73,97.48,97.36,96.35,95.84,92.09,92.21,91.56,91.46,91.44,92.57,91.44,93.58,91.31,92.82,92.82,92.70,90.93,92.57,92.70,91.81,93.01,92.70,91.81,92.19,91.69,91.18,92.21,92.70,92.62,91.56,91.44,91.44,91.44,91.44,88.26,91.44,88.45,90.43,90.68,91.31,90.05,91.31,90.81,91.81,89.55,91.18,91.31,91.44,89.80,90.68,92.19,91.18,90.93,91.06,91.06,92.06,91.44,92.44,91.93,90.93,91.56,89.29,89.55,90.93,91.86,91.18,90.93,90.81,92.32,91.06,92.32,90.81,90.30,91.06,89.55,91.93,92.07,90.81,91.56,90.05,90.18,90.05,91.56,89.92,92.23,90.05,89.80,90.05,89.34,89.92,89.59,90.43,89.01,90.05,89.34,89.80,90.30,90.30,89.80,88.96,90.55,89.08,90.05,89.92,87.95,90.05,89.80,90.18,89.04,90.05,88.83,92.07,89.64,91.49,88.32,89.21,91.70,89.08,88.83,88.08,93.01,88.33,87.94,88.21,88.44,90.52,89.67,88.53,87.58,88.33,88.08,88.08,85.82,85.82,85.70,85.45,85.70,85.57,87.20,89.45,85.57,85.32,87.70,85.57,85.19,86.83,85.70,86.95,87.70,86.20,85.45,85.32,87.53,85.70,85.07
angiotensin-converting enzyme 2 precursor [Pongo abelii],99.25,99.25,98.28,99.25,99.13,99.13,100.00,100.00,99.38,99.50,98.24,99.35,99.35,98.24,98.11,97.98,97.98,97.98,97.98,97.86,97.86,97.61,97.86,97.73,97.73,97.73,97.98,97.73,97.73,97.61,97.73,97.61,97.73,97.61,97.61,97.48,97.73,97.73,97.48,97.36,96.35,95.84,92.09,92.21,91.56,91.46,91.44,92.57,91.44,93.58,91.31,92.82,92.82,92.70,90.93,92.57,92.70,91.81,93.01,92.70,91.81,92.19,91.56,91.18,92.21,92.70,92.62,91.56,91.44,91.44,91.44,91.44,88.26,91.31,88.45,90.43,90.68,91.31,90.05,91.31,90.81,91.81,89.55,91.18,91.31,91.44,89.80,90.68,92.19,91.18,90.93,91.06,91.06,92.06,91.44,92.44,91.93,90.81,91.56,89.29,89.55,90.93,91.86,91.18,90.93,90.81,92.32,91.06,92.32,90.81,90.30,91.06,89.55,91.93,92.07,90.81,91.56,90.05,90.18,90.05,91.56,89.92,92.23,90.05,89.80,90.05,89.34,89.92,89.59,90.43,89.01,90.05,89.34,89.80,90.30,90.30,89.80,88.96,90.55,89.08,90.05,89.92,87.95,90.05,89.80,90.18,89.04,90.05,88.83,92.07,89.64,91.37,88.32,89.21,91.57,89.08,88.83,88.08,93.01,88.33,87.94,88.21,88.44,90.52,89.67,88.53,87.58,88.33,88.08,88.08,85.82,85.82,85.70,85.45,85.70,85.57,87.20,89.45,85.57,85.32,87.70,85.57,85.19,86.83,85.70,86.95,87.70,86.20,85.45,85.32,87.53,85.70,85.07
angiotensin-converting enzyme 2 [Hylobates moloch],99.13,99.13,98.15,99.13,99.01,99.01,99.38,99.38,100.00,99.75,98.11,99.22,99.22,98.11,97.98,97.86,97.86,97.86,97.86,97.73,97.73,97.48,97.98,97.86,97.61,97.61,97.86,97.61,97.61,97.48,97.61,97.73,97.61,97.48,97.48,97.36,97.61,97.48,97.36,97.23,96.22,95.72,92.21,92.34,91.44,91.58,91.44,92.44,91.44,93.58,91.44,92.82,92.82,92.70,90.93,92.44,92.70,91.81,92.88,92.57,91.81,92.07,91.69,91.06,92.34,92.70,92.62,91.69,91.31,91.31,91.31,91.56,88.26,91.18,88.33,90.43,90.81,91.06,89.80,91.18,90.68,91.94,89.55,91.06,91.18,91.44,89.80,90.68,92.32,90.93,90.81,90.93,90.93,92.18,91.44,92.44,92.06,90.81,91.69,89.04,89.55,90.81,91.99,90.93,90.68,90.68,92.44,91.18,92.32,90.68,90.18,91.18,89.42,92.06,92.07,90.68,91.69,89.92,89.80,90.05,91.69,89.92,92.23,89.92,89.67,89.92,89.21,89.67,89.59,90.18,89.01,89.80,89.34,89.67,90.18,90.18,89.80,88.96,90.43,89.08,90.05,89.80,87.95,90.05,89.80,90.18,89.04,90.05,88.71,92.07,89.52,91.48,88.32,89.08,91.44,89.08,88.58,88.08,93.01,88.33,87.81,88.08,88.19,90.80,89.54,88.65,87.58,88.33,87.95,87.95,85.70,85.82,85.57,85.45,85.57,85.45,87.20,89.32,85.70,85.45,87.70,85.45,85.07,86.57,85.82,86.95,87.70,86.07,85.45,85.19,87.41,85.82,85.07
angiotensin-converting enzyme 2 [Nomascus leucogenys],99.25,99.13,98.28,99.25,99.13,99.13,99.50,99.50,99.75,100.00,98.24,99.35,99.35,98.24,98.11,97.98,97.98,97.98,97.98,97.86,97.86,97.61,98.11,97.98,97.73,97.73,97.98,97.73,97.73,97.61,97.73,97.86,97.73,97.61,97.61,97.48,97.73,97.61,97.48,97.36,96.35,95.84,92.09,92.21,91.44,91.46,91.31,92.44,91.31,93.58,91.31,92.70,92.70,92.57,90.93,92.32,92.57,91.69,92.88,92.57,91.69,92.07,91.69,91.06,92.21,92.57,92.62,91.56,91.44,91.44,91.31,91.44,88.26,91.18,88.33,90.43,90.68,91.06,89.80,91.18,90.43,91.81,89.55,91.06,91.18,91.31,89.67,90.81,92.19,90.93,90.81,90.93,90.93,92.06,91.31,92.32,91.93,90.93,91.56,89.04,89.42,90.81,91.86,90.93,90.68,90.68,92.32,91.06,92.19,90.68,90.43,91.06,89.42,91.93,92.07,90.81,91.56,89.92,89.67,90.18,91.56,90.05,92.10,90.05,89.80,89.92,88.96,89.67,89.59,90.18,89.01,89.55,89.34,89.80,90.30,90.30,89.92,88.96,90.30,89.08,90.18,89.92,87.95,89.92,89.92,90.05,89.04,89.92,88.71,91.94,89.39,91.61,88.32,89.08,91.44,89.08,88.33,88.08,92.88,88.21,87.81,88.08,88.19,90.80,90.93,88.52,87.58,88.33,87.95,87.95,85.70,85.82,85.57,85.45,85.57,85.45,87.20,89.58,85.70,85.19,87.58,85.45,85.07,86.57,85.82,86.83,87.45,86.07,85.45,85.19,87.41,85.82,85.07
