null,Homo sapiens,Mus musculus,Rattus norvegicus,Camelus dromedarius
Homo sapiens,100.00,91.40,89.59,52.94
Mus musculus,91.40,100.00,96.40,52.94
Rattus norvegicus,89.48,96.30,100.00,52.94
Camelus dromedarius,52.94,52.94,52.94,100.00
