null,Homo sapiens,Felis catus,Canis lupus familiaris,Camelus dromedarius,Bos taurus,Rattus norvegicus,Ictidomys tridecemlineatus,Mus musculus
Homo sapiens,100.00,89.83,89.80,89.03,85.17,83.70,82.73,49.57
Felis catus,90.52,100.00,92.02,89.86,88.21,81.80,80.12,74.13
Canis lupus familiaris,89.80,92.02,100.00,89.91,88.33,82.92,78.59,74.43
Camelus dromedarius,89.84,89.86,89.91,100.00,88.98,81.92,78.74,73.40
Bos taurus,85.75,88.21,88.33,88.98,100.00,81.14,78.89,73.42
Rattus norvegicus,83.70,81.80,82.92,82.16,81.14,100.00,76.64,89.03
Ictidomys tridecemlineatus,82.73,80.00,76.66,77.26,77.94,75.23,100.00,70.31
Mus musculus,50.38,74.13,74.43,74.16,73.75,89.03,70.52,100.00
