null,Homo sapiens,Camelus dromedarius,Canis lupus familiaris,Felis catus,Rattus rattus,Mus musculus
Homo sapiens,100.00,71.70,72.95,69.83,62.96,63.36
Camelus dromedarius,71.70,100.00,73.95,75.00,60.07,61.03
Canis lupus familiaris,73.33,73.95,100.00,83.27,61.48,62.89
Felis catus,69.83,75.00,83.27,100.00,61.87,63.33
Rattus rattus,63.39,59.70,61.44,61.28,100.00,83.20
Mus musculus,63.93,61.03,62.89,63.33,83.20,100.00
