null,Homo sapiens,Felis catus,Camelus dromedarius,Canis lupus familiaris,Mus musculus,Rattus norvegicus
Homo sapiens,100.00,89.57,88.66,87.79,79.95,79.44
Felis catus,89.57,100.00,92.56,93.48,79.00,80.76
Camelus dromedarius,88.16,92.04,100.00,90.55,77.11,76.87
Canis lupus familiaris,87.53,92.73,90.57,100.00,79.44,80.25
Mus musculus,79.39,79.16,75.12,80.92,100.00,90.52
Rattus norvegicus,75.31,79.31,74.58,78.20,89.53,100.00
