Pairwise ACE2 similarity,Human_ACE2,Gorilla_ACE2,pan_troglodytes_ACE2_(Chimpanzee),Rabbit_ACE2_(Rabbit),Equus_caballus_ACE2_(Horse),Masked_palm_civet_ACE2_(masked_palm_civet),Felis_Catus_ACE2_(Cat),Iberian_lynx_ACE2_(Wild_cat),ailuropoda_melanoleuca_ACE2_(panda),Mesocricetus_auratus_ACE2_(Golden_hamster),Cricetulus_griseus_ACE2_(Chinese_Hamster),Pig_ACE2,Indian_muntjac_ACE2,Bos_mutus_ACE2_(Domestic_Yak),Procyon_lotor_ACE2_(Raccon),Canis_lupus_familiaris_ACE2_(Dog),mustela_putorius_furo_ACE2_(Ferret),Mus_musculus_ACE2_(mouse),Nyctereutes_procyonoides_ACE2_(Raccon_Dog),Vulpes_ACE2_(Red_fox),Rattus_ACE2_(Rat),Canis_lupus_ACE2_(Wolf)
Human_ACE2,100,99.5,99.38,92.82,93.45,91.31,92.57,92.57,92.19,91.56,91.44,91.56,91.06,90.93,92.19,92.19,91.69,89.42,92.19,91.94,90.05,91.81
Gorilla_ACE2,99.5,100,99.38,92.82,93.45,91.18,92.44,92.44,92.32,91.81,91.69,91.44,91.06,90.93,92.44,92.19,91.81,89.55,92.19,92.44,90.05,91.81
pan_troglodytes_ACE2_(Chimpanzee),99.38,99.38,100,92.7,93.32,91.06,92.32,92.32,91.94,91.31,91.31,91.31,90.81,90.68,92.19,92.07,91.69,89.17,92.07,91.81,89.67,91.69
Rabbit_ACE2_(Rabbit),92.82,92.82,92.7,100,93.07,90.81,92.07,92.07,92.07,93.95,93.95,92.44,90.68,91.56,91.31,92.07,91.44,91.69,92.07,91.81,91.56,91.81
Equus_caballus_ACE2_(Horse),93.45,93.45,93.32,93.07,100,93.45,94.33,94.33,94.21,92.19,92.19,94.08,92.82,92.95,93.45,93.7,92.95,90.93,93.7,93.32,90.55,93.58
Masked_palm_civet_ACE2_(masked_palm_civet),91.06,91.06,90.93,90.68,93.29,100,97.14,97.14,95.28,89.69,90.06,91.55,90.56,90.31,93.79,94.16,93.91,89.32,94.16,93.66,88.57,93.79
Felis_Catus_ACE2_(Cat),92.3,92.3,92.17,91.93,94.16,97.14,100,99.75,96.27,90.43,90.68,92.67,90.93,90.81,94.91,95.03,95.03,89.94,95.03,94.66,89.32,94.53
Iberian_lynx_ACE2_(Wild_cat),92.3,92.3,92.17,91.93,94.16,97.14,99.75,100,96.27,90.43,90.68,92.55,90.81,90.68,94.78,95.03,94.91,89.94,95.28,94.66,89.32,94.53
ailuropoda_melanoleuca_ACE2_(panda),92.26,92.39,92.01,92.13,94.29,95.56,96.57,96.57,100,90.99,90.99,92.39,91.12,91.37,95.94,96.44,95.43,90.1,96.18,96.06,89.72,96.06
Mesocricetus_auratus_ACE2_(Golden_hamster),91.56,91.81,91.31,93.95,92.19,89.92,90.68,90.68,90.81,100,98.63,90.3,90.05,90.81,90.81,90.93,90.3,95.09,90.93,91.06,94.96,90.43
Cricetulus_griseus_ACE2_(Chinese_Hamster),91.44,91.69,91.31,93.95,92.19,90.3,90.93,90.93,90.81,98.63,100,90.55,89.67,90.68,90.81,90.81,90.68,94.58,90.81,90.93,94.33,90.81
Pig_ACE2,91.43,91.43,91.3,92.42,94.04,91.55,92.67,92.55,92.05,90.19,90.43,100,94.16,94.04,91.18,91.3,91.55,89.69,91.3,91.06,88.94,91.3
Indian_muntjac_ACE2,90.93,91.06,90.81,90.68,92.8,90.56,90.93,90.81,90.93,89.94,89.57,94.16,100,98.01,90.81,90.31,90.31,89.44,90.31,90.19,89.19,89.94
Bos_mutus_ACE2_(Domestic_Yak),90.81,90.93,90.68,91.55,92.92,90.31,90.81,90.68,91.18,90.68,90.56,94.04,98.01,100,90.56,90.19,89.44,89.69,90.19,90.06,88.82,89.94
Procyon_lotor_ACE2_(Raccon),92.26,92.51,92.26,91.37,93.53,94.04,95.18,95.05,95.94,90.99,90.99,91.5,90.99,90.74,100,95.17,95.3,90.1,95.42,95.55,89.21,94.66
Canis_lupus_familiaris_ACE2_(Dog),92.26,92.26,92.13,92.13,93.89,94.4,95.29,95.29,96.44,91.33,91.2,91.6,90.46,90.33,95.17,100,94.66,90.45,99.5,99.25,89.92,99.25
mustela_putorius_furo_ACE2_(Ferret),91.75,91.88,91.75,91.5,93.02,94.16,95.3,95.18,95.43,90.48,90.86,91.88,90.48,89.59,95.3,94.66,100,90.36,94.66,94.53,89.34,94.27
Mus_musculus_ACE2_(mouse),89.42,89.55,89.17,91.69,90.93,89.55,90.29,90.18,89.92,95.09,94.58,89.8,89.55,89.8,89.92,90.29,90.18,100,90.18,90.16,94.33,89.91
Nyctereutes_procyonoides_ACE2_(Raccon_Dog),92.26,92.26,92.13,92.13,93.89,94.4,95.29,95.55,96.18,91.33,91.2,91.6,90.46,90.33,95.42,99.5,94.66,90.45,100,99.5,89.92,98.76
Vulpes_ACE2_(Red_fox),92.01,92.51,91.88,91.88,93.51,93.89,94.91,94.91,96.06,91.45,91.33,91.35,90.33,90.2,95.55,99.25,94.53,90.32,99.5,100,89.8,98.51
Rattus_ACE2_(Rat),90.05,90.05,89.67,91.56,90.55,88.79,89.55,89.55,89.42,94.96,94.33,89.04,89.29,88.92,88.92,89.29,89.04,94.33,89.29,89.17,100,88.79
Canis_lupus_ACE2_(Wolf),91.88,91.88,91.75,91.88,93.77,94.02,94.78,94.78,96.06,90.82,91.2,91.6,90.08,90.08,94.66,99.25,94.27,90.06,98.76,98.51,89.41,100
