null,Homo sapiens,Felis catus,Camelus dromedarius,Rattus norvegicus,Mus musculus
Homo sapiens,100.00,69.98,70.14,70.51,70.08
Felis catus,69.98,100.00,74.12,64.05,66.40
Camelus dromedarius,70.14,74.12,100.00,68.94,68.81
Rattus norvegicus,70.51,64.24,69.38,100.00,93.00
Mus musculus,69.42,66.21,68.67,93.00,100.00
