null,Homo sapiens,Felis catus,Camelus dromedarius,Canis lupus familiaris,Rattus norvegicus,Mus musculus
Homo sapiens,100.00,79.39,79.72,78.97,65.88,67.15
Felis catus,79.39,100.00,80.67,84.99,83.33,66.07
Camelus dromedarius,79.72,80.67,100.00,80.15,87.50,67.26
Canis lupus familiaris,78.97,84.99,79.53,100.00,63.44,65.94
Rattus norvegicus,65.60,83.33,72.73,63.44,100.00,81.28
Mus musculus,66.91,65.62,66.67,65.94,81.28,100.00
